Point,timeStamp,Arduino,ADSReference,ADSReferenceVoltage,ads,ADSVoltage,ADSGain,Multimeter
1,2024-03-06 00:00:53,60,16965,1.0605948667867062,935,0.05756425672170171,2,0.06646
2,2024-03-06 00:00:55,95,16975,1.0604073610644857,1490,0.09325284585100864,2,0.10173
3,2024-03-06 00:00:57,11,16962,1.0602823572496718,30,0.002312570574053163,2,0.056042
1,2024-03-06 00:01:53,62,16966,1.0602823572496718,949,0.05943931394390698,2,0.06773
2,2024-03-06 00:01:55,94,16966,1.0604073610644857,1504,0.09337784966582233,2,0.10178
3,2024-03-06 00:01:57,6,16968,1.060219855342265,25,0.0014375438703573718,2,0.045368
1,2024-03-06 00:02:53,62,16987,1.0627199316385387,961,0.05918930631427961,2,0.06791
2,2024-03-06 00:02:55,95,16979,1.0621574144718773,1499,0.093502853480636,2,0.10175
3,2024-03-06 00:02:57,6,16992,1.0603448591570788,24,0.0013125400555436873,2,0.00487
1,2024-03-06 00:03:53,60,16965,1.0603448591570788,917,0.057314249092074346,2,0.06548
2,2024-03-06 00:03:55,95,16966,1.0604073610644857,1475,0.09412787255470442,2,0.1017
3,2024-03-06 00:03:57,5,16964,1.0609698782311472,27,0.0013750419629505295,2,0.056462
1,2024-03-06 00:04:53,61,16972,1.0602823572496718,939,0.05925180822168646,2,0.06732
2,2024-03-06 00:05:06,93,16969,1.0599698477126378,1494,0.09356535538804285,2,0.10173
3,2024-03-06 00:05:08,5,16958,1.0607823725089267,21,0.00250007629627369,2,0.035268
1,2024-03-06 00:05:53,60,16968,1.0617199011200293,940,0.058626789147618034,2,0.06704
2,2024-03-06 00:05:55,94,16987,1.061782403027436,1504,0.09419037446211127,2,0.10174
3,2024-03-06 00:05:57,4,16964,1.0612198858607744,46,0.0024375743888668477,2,0.032254
1,2024-03-06 00:06:53,61,16968,1.0605323648792992,965,0.06012683492538224,2,0.06811
2,2024-03-06 00:06:55,96,16973,1.0616573992126226,1493,0.09369035920285654,2,0.10177
3,2024-03-06 00:06:57,6,16983,1.0614698934904019,23,0.003187597277748955,2,0.061746
1,2024-03-06 00:07:53,61,16993,1.0609698782311472,944,0.06000183111056856,2,0.06739
2,2024-03-06 00:07:55,94,16981,1.0623449201940978,1508,0.09337784966582233,2,0.10339
3,2024-03-06 00:07:57,6,16989,1.0617199011200293,32,0.004062623981444746,2,0.058712
1,2024-03-06 00:08:53,60,16975,1.0619699087496566,943,0.05831427961058382,2,0.06662
2,2024-03-06 00:08:55,95,16973,1.0608448744163335,1501,0.09325284585100864,2,0.10188
3,2024-03-06 00:08:57,8,16966,1.0615323953978089,22,0.0018125553147984254,2,0.054982
1,2024-03-06 00:09:53,63,16971,1.0607823725089267,974,0.06175188451796014,2,0.0695
2,2024-03-06 00:09:55,94,16973,1.0633449507126074,1513,1.0608448744163335,2,0.10195
3,2024-03-06 00:09:57,8,16977,1.0604698629718923,22,0.0014375438703573718,2,0.064304
1,2024-03-06 00:10:53,65,16990,1.0617199011200293,1006,0.06362694174016541,2,0.07149
2,2024-03-06 00:10:55,94,16976,1.06190740684225,1511,0.0943778801843318,2,0.102
3,2024-03-06 00:10:57,4,16987,1.0605948667867062,21,0.0020625629444257945,2,0.058706
1,2024-03-06 00:11:53,63,16971,1.0607198706015197,981,0.06143937498092593,2,0.07027
2,2024-03-06 00:11:55,94,16973,1.061094882045961,1494,0.09444038209173865,2,0.10191
3,2024-03-06 00:11:57,4,16976,1.0605948667867062,28,0.0013750419629505295,2,0.057822
1,2024-03-06 00:12:53,67,16970,1.0607823725089267,1038,0.06543949705496382,2,0.07339
2,2024-03-06 00:12:55,95,16985,1.0607823725089267,1497,0.09419037446211127,2,0.10208
3,2024-03-06 00:12:57,5,16966,1.0604698629718923,33,0.0015000457777642141,2,0.057662
1,2024-03-06 00:13:53,67,16970,1.060657368694113,1037,0.06475197607348858,2,0.07299
2,2024-03-06 00:13:55,93,16969,1.060657368694113,1500,0.09412787255470442,2,0.1023
3,2024-03-06 00:13:57,4,16966,1.0604698629718923,26,0.0019375591296121098,2,0.043302
1,2024-03-06 00:14:53,67,16971,1.0609073763237404,1033,0.06462697225867489,2,0.07327
2,2024-03-06 00:14:55,95,16982,1.0615948973052156,1503,0.09394036683248391,2,0.10238
3,2024-03-06 00:14:57,6,16972,1.0615323953978089,20,0.0028125858333079012,2,0.05182
1,2024-03-06 00:15:53,65,16971,1.0607198706015197,1030,0.0648144779808954,2,0.07204
2,2024-03-06 00:15:55,95,16987,1.0609698782311472,1500,0.0948153935361797,2,0.27211
3,2024-03-06 00:15:57,8,16971,1.0604073610644857,31,0.0024375743888668477,2,0.060442
1,2024-03-06 00:16:53,65,17039,1.0607198706015197,1008,0.06293942075869015,2,0.07143
2,2024-03-06 00:16:55,96,16971,1.0612823877681814,1501,0.09425287636951811,2,0.20081
